date,open,high,low,close,volume
2015-01-09 09:15:00+05:30,18845.9,18864.0,18758.5,18771.6,0
2015-01-09 09:45:00+05:30,18774.15,18813.6,18758.5,18781.15,0
2015-01-09 10:15:00+05:30,18781.15,18807.1,18764.0,18764.0,0
2015-01-09 10:45:00+05:30,18764.0,18790.65,18745.6,18779.35,0
2015-01-09 11:15:00+05:30,18779.35,18783.7,18685.65,18699.65,0
2015-01-09 11:45:00+05:30,18699.65,18719.65,18570.85,18616.35,0
2015-01-09 12:15:00+05:30,18616.35,18623.5,18517.25,18567.85,0
2015-01-09 12:45:00+05:30,18569.5,18653.3,18547.1,18565.95,0
2015-01-09 13:15:00+05:30,18569.4,18606.1,18557.2,18581.9,0
2015-01-09 13:45:00+05:30,18581.9,18597.5,18479.65,18514.15,0
2015-01-09 14:15:00+05:30,18514.15,18585.5,18490.6,18579.55,0
2015-01-09 14:45:00+05:30,18570.35,18678.35,18557.05,18663.05,0
2015-01-09 15:15:00+05:30,18663.05,18663.05,18582.9,18598.05,0
2015-01-12 09:15:00+05:30,18632.0,18646.85,18530.1,18646.85,0
2015-01-12 09:45:00+05:30,18647.9,18755.75,18631.15,18748.15,0
2015-01-12 10:15:00+05:30,18748.15,18787.7,18728.95,18747.5,0
2015-01-12 10:45:00+05:30,18747.5,18749.15,18701.7,18725.8,0
2015-01-12 11:15:00+05:30,18725.8,18747.6,18702.7,18712.85,0
2015-01-12 11:45:00+05:30,18712.85,18743.55,18673.05,18685.75,0
2015-01-12 12:15:00+05:30,18684.25,18689.6,18629.3,18655.7,0
2015-01-12 12:45:00+05:30,18655.7,18695.6,18635.15,18685.05,0
2015-01-12 13:15:00+05:30,18687.5,18716.05,18670.3,18695.95,0
2015-01-12 13:45:00+05:30,18695.95,18757.0,18694.25,18738.8,0
2015-01-12 14:15:00+05:30,18738.2,18817.3,18730.8,18776.35,0
2015-01-12 14:45:00+05:30,18776.35,18804.6,18750.8,18782.2,0
2015-01-12 15:15:00+05:30,18782.2,18822.05,18778.5,18808.75,0
2015-01-13 09:15:00+05:30,18889.0,18890.2,18815.8,18860.45,0
2015-01-13 09:45:00+05:30,18860.45,18909.05,18860.2,18889.9,0
2015-01-13 10:15:00+05:30,18889.9,18920.65,18860.9,18910.45,0
2015-01-13 10:45:00+05:30,18910.45,18911.25,18856.35,18862.9,0
2015-01-13 11:15:00+05:30,18860.4,18867.7,18813.8,18839.0,0
2015-01-13 11:45:00+05:30,18839.55,18867.9,18831.25,18844.9,0
2015-01-13 12:15:00+05:30,18844.9,18856.05,18801.75,18830.7,0
2015-01-13 12:45:00+05:30,18830.7,18856.55,18817.4,18856.55,0
2015-01-13 13:15:00+05:30,18856.5,18917.05,18856.5,18888.8,0
2015-01-13 13:45:00+05:30,18888.8,18909.75,18843.2,18843.45,0
2015-01-13 14:15:00+05:30,18843.45,18851.3,18650.75,18666.95,0
2015-01-13 14:45:00+05:30,18666.95,18718.95,18642.8,18715.1,0
2015-01-13 15:15:00+05:30,18715.1,18728.7,18701.55,18724.75,0
2015-01-14 09:15:00+05:30,18670.4,18740.5,18621.75,18723.2,0
2015-01-14 09:45:00+05:30,18725.4,18769.65,18676.15,18680.4,0
2015-01-14 10:15:00+05:30,18684.65,18708.3,18661.1,18688.2,0
2015-01-14 10:45:00+05:30,18687.15,18729.9,18659.95,18669.0,0
2015-01-14 11:15:00+05:30,18670.6,18681.3,18624.95,18654.7,0
2015-01-14 11:45:00+05:30,18654.7,18663.8,18595.5,18600.85,0
2015-01-14 12:15:00+05:30,18600.85,18604.5,18534.8,18576.3,0
2015-01-14 12:45:00+05:30,18578.0,18578.0,18517.9,18546.45,0
2015-01-14 13:15:00+05:30,18553.75,18580.6,18526.25,18563.9,0
2015-01-14 13:45:00+05:30,18563.9,18660.2,18535.7,18627.9,0
2015-01-14 14:15:00+05:30,18624.4,18677.5,18564.45,18571.15,0
2015-01-14 14:45:00+05:30,18571.15,18619.85,18547.95,18588.0,0
2015-01-14 15:15:00+05:30,18588.4,18638.25,18579.85,18636.85,0
2015-01-15 09:15:00+05:30,19340.45,19410.4,19104.55,19150.75,0
